name,size,layers,accuracy,true_pos,true_neg,false_pos,false_neg,pos_recall,neg_recall,pos_precision,neg_precision,pos_f1-score,neg_f1-score
experiment_001,137029,8,0.9466666666666667,138,146,4,12,0.92,0.9733333333333334,0.971830985915493,0.9240506329113924,0.9452054794520549,0.948051948051948
experiment_002,148884,9,0.9466666666666667,140,144,6,10,0.9333333333333333,0.96,0.958904109589041,0.935064935064935,0.9459459459459458,0.9473684210526316
experiment_003,177253,11,0.9466666666666667,143,141,9,7,0.9533333333333334,0.94,0.9407894736842105,0.9527027027027027,0.9470198675496689,0.9463087248322148
experiment_004,483616,12,0.95,145,140,10,5,0.9666666666666667,0.9333333333333333,0.9354838709677419,0.9655172413793104,0.9508196721311476,0.9491525423728815
experiment_004r,494670,12,0.9766666666666667,145,148,2,5,0.9666666666666667,0.9866666666666667,0.9863945578231292,0.9673202614379085,0.9764309764309764,0.9768976897689768
experiment_005a,4024888,7,0.9566666666666667,144,143,7,6,0.96,0.9533333333333334,0.9536423841059603,0.959731543624161,0.9568106312292359,0.9565217391304347
experiment_005b,4165246,7,0.9866666666666667,149,147,3,1,0.9933333333333333,0.98,0.9802631578947368,0.9932432432432432,0.9867549668874172,0.9865771812080537
experiment_005ra,4035345,7,0.9366666666666666,141,140,10,9,0.94,0.9333333333333333,0.9337748344370861,0.9395973154362416,0.93687707641196,0.9364548494983278
experiment_005rb,4180621,7,0.9966666666666667,149,150,0,1,0.9933333333333333,1.0,1.0,0.9933774834437086,0.9966555183946488,0.9966777408637874
